"family","sires","mean","mean_error","mean_sigma","lm_intercept","lm_intercept_error","lm_slope","lm_slope_error","lm_sigma","sire_jersey_propn","sire_breed","sire_birth_date","sire_birth_year","sire_region","halfsibs_in_data","halfsibs_total","sire_breeding_window","sire_avg_age_at_col","rounded_ages","children_per_age"
1,136854,0.902927641826358,0.0440689450110832,0.170678290112856,-1.49113703665844,1.25109513815603,0.00537026621463617,0.00280494159065535,0.156434285774775,0,"Holstein","2006-08-12",2006,"SOUTH AUCKLAND",15,15,42,445.8,"1","15"
1,136858,1.06552545247388,0.0488896616709096,0.189348845453148,0.522275723694089,1.27875449082484,0.00122555962275483,0.00288260212685414,0.195144570575214,0,"Holstein","2006-08-13",2006,"SOUTH AUCKLAND",15,15,44,443.266666666667,"1","15"
1,136861,1.1197324838309,0.0437087184331858,0.180215662860407,-2.08371969510891,1.31608560552993,0.00726019024689732,0.00298147190938326,0.157568994283276,0,"Holstein","2006-08-14",2006,"SOUTH AUCKLAND",17,17,35,441.235294117647,"1","17"
1,137101,1.03009056087186,0.05159538704411,0.186029813564949,-0.693071679417539,1.22830674741067,0.00381555256749484,0.00271758642898169,0.178929426181821,0,"Holstein","2006-08-11",2006,"SOUTH AUCKLAND",13,14,44,451.615384615385,"1","13"
1,137248,1.09471999351694,0.0302348094540182,0.131790478987274,1.22738594083828,0.833663909699059,-0.000310769695364994,0.00195149759649156,0.135510248905632,0,"Holstein","2006-08-30",2006,"SOUTH AUCKLAND",19,20,44,426.894736842105,"1","19"
1,137497,0.995408438163975,0.0428021527175761,0.171208610870304,2.65582129814736,0.42201967137411,-0.00358040508891296,0.000907637400166386,0.121958234711783,1,"Jersey","2006-07-19",2006,"SOUTH AUCKLAND",16,16,144,463.75,"1","16"
1,137525,0.972394580536255,0.0502447206448642,0.213170296120843,0.357266691754502,0.990655965542222,0.00148283139119748,0.00238489324218909,0.217123541364528,1,"Jersey","2006-09-02",2006,"SOUTH AUCKLAND",18,18,55,414.833333333333,"1","18"
1,137526,0.952349899194026,0.0277662295401664,0.168895380654584,0.99157713538185,0.230373414653153,-0.000102283843477765,0.000596190973286988,0.171219200373654,1,"Jersey","2006-09-03",2006,"SOUTH AUCKLAND",37,41,137,383.513513513513,"1","37"
1,137590,1.13395748376767,0.0407032867779492,0.190915337779906,1.09995129397815,1.02784338890069,8.17277884388655e-05,0.00246820305033548,0.195624644564315,1,"Jersey","2006-08-29",2006,"SOUTH AUCKLAND",22,25,44,416.090909090909,"1","22"
1,137600,1.0900346118661,0.0369568967946786,0.188443937917901,0.971793310465872,2.6832414414063,0.000262064089711526,0.00594641418224322,0.192322006893449,1,"Jersey","2006-08-05",2006,"SOUTH AUCKLAND",26,28,22,451.192307692308,"1","26"
1,137609,1.05400564654785,0.0438194545660304,0.157993290300687,1.41067162222108,0.202417915488243,-0.000921617508199561,0.00051260612050126,0.145073871615004,0.5625,"Mix","2006-08-03",2006,"SOUTH AUCKLAND",13,13,181,387,"1","13"
1,137724,1.14152381721107,0.0244322098562872,0.17618317081948,1.17641523793467,0.0992447580661691,-5.19024480827055e-05,0.000143007248878669,0.177702360550461,1,"Jersey","2006-08-30",2006,"SOUTH AUCKLAND",52,53,403,672.25,"1 2","17 35"
