"","(Intercept)","as.Date(sire_birth_date)","kept_markers_adjusted","sire_age_at_collection","I(sire_age_at_collection^2)","sire_breeding_window","sire_jersey_propn","as.Date(sire_birth_date):kept_markers_adjusted","as.Date(sire_birth_date):sire_age_at_collection","as.Date(sire_birth_date):sire_breeding_window","as.Date(sire_birth_date):sire_jersey_propn","kept_markers_adjusted:sire_age_at_collection","kept_markers_adjusted:sire_breeding_window","kept_markers_adjusted:sire_jersey_propn","sire_age_at_collection:sire_breeding_window","sire_age_at_collection:sire_jersey_propn","sire_breeding_window:sire_jersey_propn","df","logLik","AICc","delta","weight"
"4984",0.872588941579699,1.23806932690671e-05,0.000372773486945945,1.59373972957609e-05,NA,8.14086409798514e-05,-0.181192089768596,-2.50029098815806e-08,NA,-6.05908704542908e-09,7.71251734397029e-06,NA,NA,5.83310848978079e-05,NA,NA,NA,14,26484.9285537246,-52941.8526191669,145.148940444182,2.98791120304048e-32
"5752",1.00965218440789,3.17565481779536e-06,0.000114535695987652,4.54697784035107e-06,NA,3.53278700492608e-06,-0.188812208582459,-9.35686394391673e-09,NA,NA,8.17907656345909e-06,4.05820031716589e-08,NA,6.55656558069658e-05,NA,NA,NA,14,26484.9176508897,-52941.830813497,145.17074611404,2.95551144596407e-32
"26687",1.05143709180181,NA,-1.68611956547159e-06,1.32278202335539e-05,-3.29612077290129e-09,-1.60394663831604e-05,-0.0700913067444748,NA,NA,NA,NA,NA,5.68703296033586e-08,NA,3.52929656068184e-09,1.04000643692391e-05,NA,13,26483.8230385934,-52941.6421873837,145.359372227358,2.68950902235096e-32
"49848",1.04711071474915,-4.30828583862717e-07,4.10057028053466e-05,1.02829277988919e-05,NA,3.98779600552692e-06,-0.236023112216579,NA,-1.70638141296814e-11,NA,1.2214504933155e-05,NA,NA,NA,NA,1.53311490242111e-05,-1.558620738814e-06,14,26484.7959146539,-52941.5873410255,145.414218585582,2.61675625016257e-32
"8768",1.02467179457698,7.29406616424137e-07,4.03064680051892e-05,2.45480204569804e-05,-3.23726344246792e-09,2.19413157371145e-06,-0.187569932950918,NA,NA,NA,9.32507775501044e-06,NA,NA,NA,6.77141065938061e-10,NA,NA,13,26483.7868149167,-52941.5697400303,145.431819580786,2.59382852871267e-32
"4732",0.960884500205539,6.33663347020976e-06,0.000359664485651374,NA,4.42308297763864e-09,5.33902806498622e-06,-0.184012004797629,-2.3962916165943e-08,NA,NA,7.98568331396412e-06,NA,NA,5.84586318915065e-05,NA,NA,NA,13,26483.7233854283,-52941.4428810534,145.558678557631,2.434412592322e-32
"52280",0.981871351084788,5.30093965263454e-06,-5.24706868583294e-06,8.30030752230185e-06,NA,-6.93253087411447e-06,-0.0676668777491917,NA,NA,NA,NA,7.07058420488846e-09,5.19863914059243e-08,NA,NA,1.2321919353349e-05,-8.82412692572328e-06,14,26484.6772478958,-52941.3500075093,145.651552101765,2.32395092040384e-32
"1768",0.981698587890221,4.73654016233614e-06,0.000192478091944284,1.83627729880913e-05,NA,NA,-0.179765963273277,-1.2913675437805e-08,-9.66736505134453e-10,NA,8.74076485692633e-06,3.70849317206423e-08,NA,NA,NA,NA,NA,13,26483.6633311561,-52941.3227725091,145.678787101941,2.29251901623613e-32
"35392",1.04105301187601,4.56894508414871e-07,-1.84652768682822e-06,2.40299923543834e-05,-2.99067343001293e-09,-1.43657138015245e-05,-0.199264861777054,NA,NA,NA,9.97227533493851e-06,NA,5.54584156798213e-08,NA,NA,NA,6.9809992082255e-06,14,26484.5970481582,-52941.189608034,145.811951577074,2.14484863300191e-32
"3256",0.97088910303022,5.87671938806627e-06,-1.55220112617744e-06,2.27496500670767e-05,NA,-1.18800663110786e-05,-0.0627751745302824,NA,-5.37909066398e-10,NA,NA,-2.59518870350504e-09,5.77916295559837e-08,NA,NA,NA,NA,13,26483.5783223182,-52941.1527548332,145.848804777917,2.10568826850605e-32
"21624",0.952470584121832,7.71270697892008e-06,0.000117578445158898,-1.53404702763846e-06,NA,3.58746086042182e-06,-0.0862453185193879,-1.00087984696859e-08,NA,NA,NA,4.67226793359132e-08,NA,6.76574315951406e-05,NA,1.08396578913371e-05,NA,14,26484.5718029217,-52941.1391175609,145.862442050129,2.09137918610387e-32
"2240",0.927627735057947,8.66195695339535e-06,-3.19983198358918e-06,5.99136682883027e-05,-4.869408865769e-09,-1.2698112894578e-05,-0.0629361198247762,NA,-2.36333866389592e-09,NA,NA,NA,5.72996790622403e-08,NA,NA,NA,NA,13,26483.5701576883,-52941.1364255735,145.865134037595,2.08856609645194e-32
"33088",0.895643637455306,1.01546372930276e-05,3.99796547443035e-05,2.56531543371109e-05,-3.19185224274774e-09,8.34483771487995e-05,-0.0611908724708559,NA,NA,-6.14389832826036e-09,NA,NA,NA,NA,NA,NA,-4.60056467257465e-06,13,26483.5072782649,-52941.0106667267,145.990892884336,1.96128197614492e-32
"2876",0.98944365375912,4.96650631646112e-06,-2.78959824924375e-06,NA,4.12326209269463e-09,7.22367023351326e-05,-0.178960114172562,NA,NA,-6.40280728419395e-09,8.60337362448844e-06,NA,5.94745510071117e-08,NA,NA,NA,NA,13,26483.5018920796,-52940.9998943561,146.001665254975,1.95074654631686e-32
"33074",0.953147887206943,7.64985550178642e-06,NA,NA,NA,9.30845179437559e-05,-0.062284456718933,NA,NA,-6.29060432736265e-09,NA,NA,NA,NA,NA,NA,-3.98067784598555e-06,10,26480.294683216,-52940.5870155274,146.414544083644,1.58688460976846e-32
